_id,_index_map,households.amenities_present_in_house
0ba65160-2dd4-4746-a274-2b1749e7bd84,0.0,Electricity
0bc81974-c150-466e-898a-e75d4820be0c,0.0,Electricity
0bcbb268-c439-4895-806e-1b1fbc244d72,0.0,Electricity
0bd6c6b9-223b-4a94-8130-566d1cb9d96c,0.0,Electricity
0bdbe9fb-9e61-4b08-9946-1696cbc1a941,0.0,Electricity
0bdce39b-6e02-4010-b46a-edf5165ce047,0.0,Electricity
0bdf6905-9ec4-4860-b1c6-e2cb0df3d2ed,0.0,Electricity
0bf677b6-bd99-4a81-8b6c-3df608d45611,0.0,Electricity
0bff2d51-f308-4c3e-b809-24e939530be3,0.0,Electricity
0c040914-40a7-4b6a-b90c-0c5d5c3606f9,0.0,Electricity
0c0b5235-62be-4eb8-8b64-a947c9aa4a9c,0.0,Water Supply
0c2f6a68-c4c9-4816-ade8-9cefec67d761,0.0,Electricity
0c35762e-4056-4f48-a14c-ca4985040872,0.0,Electricity
0c3a38fc-4ca4-4de8-94ee-d915a2274351,0.0,Water Supply
0c3a7d9d-c810-41bb-be3b-0300bb873857,0.0,Electricity
0c3bd80c-7838-47de-ade1-e73c263bebb0,0.0,Electricity
0c404528-a727-488b-89da-9dae5bf344a5,0.0,Water Supply
0c61a324-4fb5-46a2-92e2-77235cb883a5,0.0,Electricity
0c6bb8d7-cef3-4e40-835e-af4979928781,0.0,Electricity
0c86f2d5-f6cb-49b5-bbb6-4cf8f5d1a788,0.0,Water Supply
0c90c3b3-2a5a-4a7c-bb1d-2c84d8b0258b,0.0,Electricity
0c9dc78d-7bea-48f4-a457-eae3cf1f101e,0.0,Electricity
0ca38d78-492f-4654-9555-286b84564d2f,0.0,Electricity
0caa7551-a622-49b8-aca0-4b4c9cd673b5,0.0,Electricity
0cae3407-3c5d-4c34-afc4-edd5b9087f87,0.0,Electricity
0cb15c29-5916-4b74-8f74-1257ce413d34,0.0,Electricity
0cc1f42b-3f46-4a1e-9dc4-abbfa7d71836,0.0,Electricity
0ce1a86b-3bc3-4b0a-a050-d69f143f8e51,0.0,Electricity
0ce516be-9a29-4198-affa-e0a9803ba916,0.0,Electricity
0cf1a9b2-65f5-48eb-b3dd-a499aeb42703,0.0,Electricity
0cf70300-a6ed-4787-a74f-4f534dccad38,0.0,Electricity
0cf70f9f-914b-41c5-8d4d-c30070d7ce48,0.0,Electricity
0cf85a24-6ea2-4139-bdbb-9ac065a15ed4,0.0,Electricity
0cfc8f7e-748a-4b99-a0cf-a7f8ab4b67b4,0.0,Electricity
0d095d06-8734-4e28-b0a2-dac110fa97fe,0.0,Electricity
0d171f2d-d9e1-4a5a-90c4-a32efd097f30,0.0,Electricity
0d1a2891-b96c-4f43-92bb-f6a5deddd51a,0.0,Electricity
0d2a5bef-0e29-4bf6-b8d2-a0c8ab68ab93,0.0,Electricity
0d3f7e68-9103-42ec-922b-897e06b459b8,0.0,Electricity
0d41c312-1f38-4887-95f6-d4f3eef56a59,0.0,Electricity
0d45bd19-8779-4e8b-8a55-416aef5be1bf,0.0,Electricity
0d4918ab-8916-4116-8612-2f893ed396b1,0.0,Electricity
0d4a95d9-3abb-491b-8c8c-6dd036ec5c2d,0.0,Electricity
0d53d269-7f0f-4617-b832-3cb731a6c890,0.0,Electricity
0d541a51-c080-40c8-acfd-74dab89cb773,0.0,Electricity
0d546714-fd7a-46ce-9ff4-520eeb3d2b24,0.0,Electricity
0d586230-0132-4578-8db8-070883bfafe6,0.0,Electricity
0d6cfbb6-c30a-4b94-8cc1-b8b431c63d5b,0.0,Electricity
0d759328-3e99-4114-b0ce-7c6b08bd99a5,0.0,Electricity
0d902f89-6e9e-4258-8dac-7e503f2e894e,0.0,Electricity
0d9241de-dae5-4192-820f-4f274e139da7,0.0,Electricity
0da96672-dd09-439f-93a1-4ac828ea7db8,0.0,Water Supply
0dc338bf-d816-481f-965a-26753a8bcea7,0.0,Electricity
0dd1181c-c1b3-4ac0-bfcc-6d8f97d8a70a,0.0,Electricity
0dd30a89-aa0f-4aea-aa7c-a257e4158f59,0.0,Electricity
0de6b3e5-6b9c-45cf-81de-811e0760b206,0.0,Electricity
0deb8188-5c41-4de3-b8cb-433dbdd89e9e,0.0,Electricity
0dec59e5-0f5d-4015-86d9-aaac82fdad96,0.0,Electricity
0dfd265f-bfeb-4e6d-bdbd-147f09bc69ca,0.0,Electricity
0dfe528e-7210-4f23-8c1d-650bf38cb944,0.0,Electricity
0e17221b-5282-43a1-a429-58841b5a3790,0.0,Electricity
0e17bb5b-f650-43b2-8acb-fdfd6486d5b1,0.0,Electricity
0e2f65fc-3666-4e43-89dd-6b05abb79284,0.0,Electricity
0e363f2f-9902-4109-9d10-892de04ca70b,0.0,Electricity
0e43d020-1d16-4613-a2bc-3d5ef4130027,0.0,Electricity
0e493b0c-763f-4603-b4a2-3fcda517eba9,0.0,Electricity
0e4e322c-cbc6-45fc-bdb8-8551ec393a3e,0.0,Electricity
0e52a9fe-3a45-4d2f-810d-873d5b0ad65e,0.0,Electricity
0e53c6cf-f7fb-4d0e-970f-5a403e7f4032,0.0,Electricity
0e55bd8a-8d76-4b69-9c7e-e2bfb82cc2ba,0.0,Electricity
0e66ca28-82c6-4683-8136-9d50cf19124e,0.0,Electricity
0e6f46a5-68cf-42bd-843c-40871acc4030,0.0,Electricity
0e8f8cce-b077-477a-8f35-cc3b7f09bcfa,0.0,Electricity
0ea66e65-20ea-442c-98ba-f3b80a6c9b25,0.0,Electricity
0ea75e89-c3ff-4d7d-8547-3144a6213a32,0.0,Electricity
0eb56b58-ef15-499d-baca-323057c1758c,0.0,Water Supply
0ecb7987-6aa9-4d42-9177-769018439e66,0.0,Electricity
0ed24114-0fe9-4280-80ce-6f9365318e54,0.0,Electricity
0ee7f549-3ef8-4130-87ba-f8920aa2161d,0.0,Proper Ventilation
0ef1b0e7-b41b-4c6b-bfc0-9979a2113602,0.0,Electricity
0ef7ece7-7286-4577-bec9-46f970937dc1,0.0,Electricity
0f00705e-26a4-41b9-b32b-8e4f926eff28,0.0,Electricity
0f0cf52f-8fb6-4457-bc60-93c500286a0f,0.0,Electricity
0f0f0f2e-22fa-4447-8ee4-05213b04a760,0.0,Electricity
0f13f4e2-dd8a-4011-963c-9ed364404598,0.0,Electricity
0f14b226-ce76-4d33-81f3-15924c5630bc,0.0,Electricity
0f24b7df-7def-4eda-8979-9102213ac68b,0.0,Electricity
0f285ff6-6fa6-4227-b3e7-55ce69bd6d27,0.0,Water Supply
0f2b0261-85d6-4fe2-bc31-f533affc36a4,0.0,Water Supply
0f39cde8-dcfa-483c-88f7-4607e4fb17ec,0.0,Electricity
0f3c6436-347f-4a65-81c2-52bccbb59f80,0.0,Electricity
0f40b284-a5ca-4b13-aaf1-45b841f13df7,0.0,Electricity
0f43e034-433b-418f-97b0-3e7247e9ef82,0.0,Electricity
0f4d2ed5-aa3d-431b-ab30-20fb5aefe3ef,0.0,Electricity
0f574af0-86d9-4d9b-acaf-a278e4932054,0.0,Electricity
0f5b2cc6-8b31-4738-a9f8-b27ad6a37e93,0.0,Electricity
0f608de7-7aed-4757-a77b-b02286d1c009,0.0,Electricity
0f6381e5-a7bd-4dad-8c21-886a4470cfb4,0.0,Electricity
0f6c37fc-1e29-42e4-b6e3-96dc91cd54fc,0.0,Electricity
0f6c7284-3394-4162-8fac-5c4f81956ee9,0.0,Electricity
0f6f1ab7-5419-4e6e-81d8-fc28aa7d06cf,0.0,Electricity
0f77a777-a7e1-404d-8634-188371ed997e,0.0,Electricity
0f7b3eb2-c45d-47ed-bee4-7728b059584b,0.0,Electricity
0f7d14c4-2ea3-4cb9-afc9-ba340bc608b1,0.0,Electricity
0f7fe4ec-f3c5-4c7b-bcf3-bdd90c35d06e,0.0,Electricity
0f83f3c7-14e2-4dc6-9b10-33b750cbb614,0.0,Electricity
0fa33ffe-dc9f-4dac-b7c6-01dc2ad95b3f,0.0,Electricity
0fa5d178-83a5-4d9f-bb0d-86dfc4a66136,0.0,Electricity
0fa94d59-5bbe-4fae-ade7-7bce9a6882d5,0.0,Electricity
0fba65a1-991d-4a28-afe9-bc3f9efd58fd,0.0,Electricity
0fbec6e7-dd1e-4f0a-9321-a1858ba96379,0.0,Electricity
